id,name,category,value,unit,status,timestamp,region,source
1,measurement_alpha,type_A,100.00,meters,active,2024-01-01T00:00:00Z,north,sensor_01
2,measurement_alpha,type_A,100.00,meters,active,2024-01-01T00:01:00Z,north,sensor_01
3,measurement_alpha,type_A,100.01,meters,active,2024-01-01T00:02:00Z,north,sensor_01
4,measurement_alpha,type_A,100.01,meters,active,2024-01-01T00:03:00Z,north,sensor_01
5,measurement_alpha,type_A,100.02,meters,active,2024-01-01T00:04:00Z,north,sensor_01
6,measurement_beta,type_A,200.00,meters,active,2024-01-01T00:00:00Z,south,sensor_02
7,measurement_beta,type_A,200.00,meters,active,2024-01-01T00:01:00Z,south,sensor_02
8,measurement_beta,type_A,200.01,meters,active,2024-01-01T00:02:00Z,south,sensor_02
9,measurement_beta,type_A,200.01,meters,active,2024-01-01T00:03:00Z,south,sensor_02
10,measurement_beta,type_A,200.02,meters,active,2024-01-01T00:04:00Z,south,sensor_02
11,measurement_gamma,type_B,50.00,kg,inactive,2024-01-01T00:00:00Z,east,sensor_03
12,measurement_gamma,type_B,50.00,kg,inactive,2024-01-01T00:01:00Z,east,sensor_03
13,measurement_gamma,type_B,50.00,kg,inactive,2024-01-01T00:02:00Z,east,sensor_03
14,measurement_gamma,type_B,50.01,kg,inactive,2024-01-01T00:03:00Z,east,sensor_03
15,measurement_gamma,type_B,50.01,kg,inactive,2024-01-01T00:04:00Z,east,sensor_03
16,measurement_delta,type_B,75.50,kg,active,2024-01-01T00:00:00Z,west,sensor_04
17,measurement_delta,type_B,75.50,kg,active,2024-01-01T00:01:00Z,west,sensor_04
18,measurement_delta,type_B,75.51,kg,active,2024-01-01T00:02:00Z,west,sensor_04
19,measurement_delta,type_B,75.51,kg,active,2024-01-01T00:03:00Z,west,sensor_04
20,measurement_delta,type_B,75.52,kg,active,2024-01-01T00:04:00Z,west,sensor_04
21,measurement_epsilon,type_C,0.001,ratio,active,2024-01-01T00:00:00Z,north,sensor_05
22,measurement_epsilon,type_C,0.001,ratio,active,2024-01-01T00:01:00Z,north,sensor_05
23,measurement_epsilon,type_C,0.001,ratio,active,2024-01-01T00:02:00Z,north,sensor_05
24,measurement_epsilon,type_C,0.002,ratio,active,2024-01-01T00:03:00Z,north,sensor_05
25,measurement_epsilon,type_C,0.002,ratio,active,2024-01-01T00:04:00Z,north,sensor_05
